",""AA"",""DHA"",""LPS203"",""ST204"",""CerP285"",""LPIO170"",""LPIO182"",""ST302"",""ST301"",""LysoPI180"",""PG235"",""ST256"",""PA341"",""PA364"",""PA362"",""PA361"",""CerPEd381"",""PE341"",""PE340"",""PA386"",""PA385"",""PE364"",""PA384"",""PEP362"",""PEP361"",""PENMe354"",""PENMe2342"",""PA406"",""PEP381"",""PENMe376"",""PENMe374"",""PE408"",""PE406"",""PS362"",""PEnme2387"",""PS361"",""PENMe2386"",""PENMe2384"",""3OSulcerd361"",""PS384"",""PG383"",""PICer361"",""PS407"",""PS406"",""PG404"",""PEO469"",""PI364"",""SHexCer402"",""PICer401"",""PIO362"",""PG4412"",""PG425"",""PG424"",""PI374"",""PICer386"",""SHexCer411"",""SHexCer401"",""PI386"",""PI385"",""PI384"",""3OSulfogalactosylceramided422"",""PICer411"",""PG445"",""CerP505"",""SHexCer432"",""SHexCer422"",""SHexCer421"",""PI406"",""PS443"",""PICer454"",""PIP351"",""PS468"",""PS467"",""Hex2Cer384"",""PE5212"",""PS489"",""PS488"",""SHexCer466"",""PS498"",""PIP393"",""PIP407"",""PIP2340"",""PICer466"",""MIPC396"",""PIP443"""
HD_rep1,46719.05618,76580.09621,27942.23028,105231.8371,24414.93454,45982.918,193006.4966,108577.7487,380348.3895,149764.2941,117434.7887,167191.0121,351788.8091,62498.92067,382822.935,297720.7092,113675.4832,62221.66131,59398.15073,79373.41718,144482.2573,63672.63982,234275.7532,77481.71839,66722.80584,65654.65178,70554.34297,2275495.909,0,532248.5879,1320845.587,339697.1712,1646915.624,112295.4069,190309.4942,232607.9004,2202641.024,135643.8154,233041.0141,121730.8529,43670.92788,190608.9829,91448.56269,4876468.178,204165.6853,147287.3434,4870054.901,259793.4813,494023.5777,178523.648,551066.5698,661301.4939,534496.9668,146009.1868,537597.3176,465807.297,1901680.417,473774.9126,11025916.33,69325643.26,10024630.46,1186176.088,236792.0851,96693.06683,292684.0386,1915514.159,1952431.692,564233.3083,373668.4933,110177.6623,69433.69615,144304.1275,222867.3595,419285.6194,59223.1624,260197.2783,696026.6754,45150.23401,59617.50399,85968.6535,96416.44659,53942.668,156853.9203,72471.54079,526262.5244
HD_rep2,38794.02471,53571.50438,28541.61751,106930.8053,28045.22518,46042.05779,203916.8994,119296.8291,399490.5521,157966.9639,116034.1382,173433.0705,303857.2633,53004.29842,390873.1229,314209.4028,93426.2766,53405.4278,51518.849,59340.34351,130708.7633,70644.66291,236734.4067,78969.60186,65432.33984,57227.29633,74734.22165,2108564.074,0,414852.9962,1344309.212,369889.811,1499947.802,127596.1652,166147.0635,271090.408,1432421.779,117258.5364,286116.4456,143054.2918,51648.44004,256556.8035,88554.29052,4908976.608,195835.0407,93275.85903,3429158.921,288411.1983,591608.9776,157384.0895,467045.9855,655576.7698,567553.9093,140916.8775,446235.1157,472712.4906,2277658.36,405929.9072,9330448.933,76800376.68,9720472.259,1316839.108,258599.4278,103997.9922,290937.9502,2025190.702,2024378.837,582818.0742,411791.5614,115184.1489,72124.54409,131197.8484,235342.8327,459906.4141,69518.06732,249368.201,642553.4042,34526.12194,22651.93582,88286.39515,101426.3905,46182.79725,162357.5456,88710.32516,570729.1052
HD_rep3,54609.96742,85905.00942,39292.79922,156632.3296,27440.41851,59750.95481,244295.5374,145983.2069,542497.4574,200532.3072,152039.9823,243238.0887,445780.985,83705.55281,515980.7399,356361.8871,156727.8488,84149.39528,80157.25889,100344.9385,186556.3556,82367.58055,301244.3124,100387.425,75633.56685,87689.73748,95693.65395,2996153.648,0,695520.8696,1756438.091,487534.455,2130311.496,148482.4226,245078.9476,305540.9648,2780838.462,175026.831,245317.6333,149367.9949,67483.92878,218882.4682,121816.8931,6939240.695,216179.3315,152175.5905,6375644.656,343087.9808,525830.3096,221908.3734,687998.3636,829721.9425,598584.8673,191087.8446,740883.8111,460551.9557,2068949.291,572402.7647,12184012.39,83983581.78,9312931.368,1223252.837,297916.496,144872.5113,332026.6791,2085081.042,1686221.348,669116.6931,520140.3076,134688.0469,83399.49271,207630.2973,304725.2693,622966.3446,76484.43996,349133.8463,1026672.135,55848.36002,68505.88676,112756.9086,127501.4573,84411.67864,204532.9377,78364.37801,634586.5098
HD_rep4,39655.40955,58589.88437,29576.72289,122020.7206,26443.15929,40503.85708,190704.5926,106954.6391,393852.2101,160392.0294,113558.6138,167168.9915,325201.0915,63937.79885,381102.7299,289255.9227,97026.18303,60003.75839,54011.63353,75172.84108,140937.8566,85900.15595,224721.5264,70920.99243,60766.23848,71848.82506,71226.12399,2363223.227,0,468450.5181,1336285.736,345697.2233,1493190.742,123202.788,170910.5214,238154.1958,1742745.116,128530.452,224120.4408,137458.8052,29927.60173,201634.4416,94693.17703,6561676.789,217433.4038,114054.8736,5231092.15,259159.5713,470664.0648,173869.1356,633439.4076,668143.7263,532751.0492,146095.5863,625538.2109,415071.3306,1819996.529,507538.3823,11556809.64,77477890.01,8097278.727,1065881.16,218778.3338,92216.20653,265488.5086,1692043.139,1480633.045,606915.6819,397157.7509,133143.4898,71487.15242,145559.0072,240890.565,461100.0673,62664.81008,280776.2033,751667.6922,41641.06189,65473.17759,89142.52293,113298.622,54891.35402,197317.5365,83534.21201,788372.9115
HD_rep5,38466.37697,57048.94137,27424.9234,116550.9814,30755.89262,41953.94287,193724.153,109801.9192,389001.2277,166761.0989,114598.7354,174176.041,318845.7278,59436.56995,394150.5015,310706.397,109266.4385,59894.67339,55774.87148,69404.19326,141907.4501,62908.60712,311926.0239,74861.27451,67533.3175,67315.30016,71825.92058,2457162.852,0,488528.6164,1525998.213,436877.2416,1751294.273,124171.6604,166478.0462,251889.9212,1555580.955,129064.1944,235355.1822,139064.3955,46277.00776,205534.8854,122696.4684,5548899.772,227247.1592,132212.8004,4392938.923,258964.9006,535497.7439,163256.5434,557048.5384,638889.5143,542530.4138,143008.1467,512197.5472,446801.3453,1977587.113,438166.3669,10573469.79,75054276.75,8863085.951,1191264.824,238290.9652,96116.75485,268702.025,1743092.269,2182783.085,548009.1065,406927.1565,112555.676,66969.61396,139279.2306,271154.4715,495146.1515,72399.15525,252356.2836,690010.4871,43811.57846,38900.7257,92767.75034,96305.38317,60854.61647,156737.7565,82660.86334,556496.9062
HD_rep6,56204.78898,95104.78231,41240.47483,128315.6605,19896.2411,63115.08859,251115.9093,152121.2948,568518.6979,193346.7994,158047.3378,231955.6076,432301.8994,80214.77962,473334.9184,394312.2838,146446.8545,71933.59117,73330.43447,89558.03769,184475.653,98737.41976,281083.4851,105269.4983,85335.84345,78364.38162,80617.61424,2655114.248,0,580949.9639,1433104.825,414587.0502,1888615.136,123926.3129,198068.3448,262477.429,2551859.629,166837.3064,352974.0663,165424.8727,70625.45545,312098.0413,125785.7005,8000329.502,287163.2512,180101.409,7484637.312,414200.6475,872169.4884,271463.6102,767875.8103,1041206.674,853442.9608,210140.5509,824215.0095,728130.4004,3217858.018,597230.5405,14851219.24,97269941.42,16303532.1,1911103.353,342200.6824,148685.022,410746.4037,2972724.699,3409651.118,640957.072,459540.8297,116361.136,65980.8603,199019.0277,320872.2559,650376.1972,81760.39937,354779.9366,950167.9804,30222.90792,33095.84191,94893.69877,136681.9766,78689.69433,235124.7034,82685.29166,770444.6834
WT_rep1,55316.09145,89985.34822,39618.78294,143033.8875,31966.48963,70598.70041,263030.737,158021.337,586679.9084,206513.9097,162507.2278,230131.9427,487608.1938,102233.582,546349.5885,418336.0256,163466.9397,85910.77884,82741.70704,105265.3788,202923.1977,112337.7954,317727.622,104141.4154,88652.77903,95118.10203,92182.99465,2840683.482,0,644532.885,1603614.723,456512.6742,1935954.759,145506.7903,207866.9007,285302.6123,2321188.182,160415.7204,326637.0144,165958.8548,80879.46723,290693.8717,123925.857,7769457.688,339265.3575,169968.1969,7431067.032,413224.8887,811783.1461,274434.6645,829651.9507,1119505.572,890144.2115,210776.025,752736.7652,668514.43,3030572.728,663348.2439,15061940.5,96213466.12,16371091.05,1742789.355,369499.6866,145963.0821,400760.8594,3012358.415,3270260.48,818798.3617,523263.3654,132302.7643,79746.98974,196464.1378,330316.594,654745.3366,81111.60285,377610.8764,1042015.588,57035.05174,63409.67767,108968.4628,132183.2326,75431.39478,234004.4056,80624.17652,776501.8201
WT_rep2,55407.79814,91199.74043,38431.83828,171967.6277,32590.46564,55401.58121,234678.8482,139936.0617,490143.9222,205409.9336,135574.0701,251249.5938,507608.1874,94013.07717,559018.5509,413946.0039,172644.6046,93047.71956,82925.91855,116749.2327,194242.98,87702.31241,322973.8493,108129.1001,91804.56789,102868.725,103399.9152,3211602.3,66503.54778,791160.645,1851576.846,523122.3848,2276684.094,175815.9114,262621.4239,336806.7799,2961792.333,166436.5844,294113.8429,178143.2135,73590.20165,252429.2387,146885.076,7950258.257,302949.9124,196911.9768,7421104.771,360514.8648,575011.6102,268570.8122,878767.4213,896963.9385,716158.9076,218360.2001,770569.9386,574094.2762,2210783.232,718372.5826,15710583.64,93508301.28,11947355.21,1398095.459,282853.1734,135916.1193,387322.4666,2446866.345,2168739.477,809719.8853,573455.3464,140416.558,81887.37324,225127.4137,331915.6602,676827.9022,82129.43479,403587.4015,1145938.853,58889.75257,89333.46539,111615.5233,116609.0429,77060.43459,270629.59,80512.73458,778901.8407
WT_rep3,43041.91632,69856.36277,27332.39541,99962.80301,33026.48343,46250.58982,193965.3992,110512.2083,376073.573,153136.0547,114265.2322,157753.6144,391218.2132,74233.23644,412557.1395,360808.9425,123876.4626,65233.3153,64970.062,81855.23016,156883.9052,87931.81919,253057.7518,83050.79649,80383.56021,74115.28362,71465.34811,2168140.567,0,485044.163,1239463.221,343684.8382,1444552.969,122796.6579,167147.9229,242417.334,1744438.246,128700.8578,332634.1514,151935.0157,60370.03058,276116.6663,102947.4277,6034494.254,320502.7772,174345.8345,5461571.254,311677.7685,726405.0113,221809.4837,681705.8971,816456.1163,741509.4097,163695.9436,525124.7931,640082.4371,2631742.508,555455.6221,13596987.8,80796095.86,14441567.16,1606265.326,266124.5601,95588.03711,343882.1887,2501353.758,3056564.003,679443.0667,414256.3849,109601.8309,61661.25413,140147.8241,253824.0565,445579.7811,69680.79431,292545.083,718850.2663,46668.17185,52215.26534,86197.66535,100417.8188,49202.72233,202857.6349,74386.59437,675984.1637
WT_rep4,59911.11681,97183.99692,37052.85495,132232.3625,31916.11324,63142.99631,250607.7986,146503.3357,501925.3593,196251.563,154622.2376,235587.6097,503531.7985,91774.5323,547364.7733,434593.1429,181010.64,89145.92628,92943.10967,103740.6731,203094.8188,81672.99037,337293.9944,114977.3199,98239.9669,89475.85405,98157.11272,2781057.631,90540.0532,701987.6319,1734764.039,500705.8716,2130367.477,150458.7694,246247.3511,330128.1401,2730569.712,188404.6314,362601.1005,169207.8278,87786.30039,292131.2059,129010.0393,6108774.5,307538.447,207535.8277,6140925.842,391051.331,757613.2729,260294.1485,706108.4849,933257.5886,773286.8169,203686.6885,621570.4877,675253.7539,2793625.436,590975.9589,13673009.4,87076467.49,15048558.28,1723735.494,337639.772,145357.0436,412577.7496,2833014.053,3087527.142,741324.5081,538042.0564,120710.5423,91314.6857,199657.704,321130.8303,595752.8798,83666.20095,356079.7611,954671.0632,57946.77626,47543.96362,119958.487,119462.3834,76072.0436,207368.9497,86611.23665,535596.0701
WT_rep5,56749.4525,97644.12777,38941.53185,137233.2269,28949.38774,62722.47734,243823.2439,149984.7691,547849.5278,186256.7649,156575.0662,222101.8033,537642.6923,103609.5638,534194.5896,397601.4552,170196.4087,89845.456,90745.38123,116153.0855,213148.4303,123823.5227,220148.5473,105542.243,85775.33711,94282.0966,95026.25724,2740502.038,0,668356.5779,1446794.126,378423.601,1746359.706,142723.2183,240126.0895,279712.7686,2978256.749,172534.9259,336561.1266,161012.0118,87757.55727,288644.9441,100288.9962,8378734.914,325535.2147,199050.9738,8858575.855,394803.572,702459.6819,301826.9385,870889.4487,1047964.99,811722.4542,222884.5697,778616.8703,650854.4332,2681853.483,800603.8115,17841547.45,93487086.31,14597873.9,1611356.957,317500.5272,148875.9538,400019.2765,2788912.332,2383425.242,845677.7983,529713.7652,128514.4186,88621.85747,204566.6875,276030.7875,574995.487,75901.25734,399189.8425,1106687.293,70792.27217,84726.41236,103965.4996,127844.5289,70394.75691,239064.5343,75031.89047,715110.6439
WT_rep6,39007.81546,59562.3924,27394.15145,123695.3366,33628.24313,42487.15467,191348.2074,111203.7783,395335.6522,161245.1403,116596.8979,167260.6529,392685.5696,76299.17717,443629.9114,313401.4179,128972.3894,74467.01699,69040.66685,90654.47836,161549.7345,68566.07317,264822.3233,75340.64127,67624.44872,80535.27535,83355.56326,2541430.569,0,559064.6747,1517919.164,401913.5176,1609416.59,137945.0559,200009.4639,260334.2026,1873041.463,133630.3027,231713.4858,135434.5348,60082.00669,205255.5387,101901.57,5932256.279,259931.9705,149777.7922,4933676.941,260600.8428,503608.8854,177321.2617,645074.4251,664963.3781,545824.4809,152775.0701,514688.4879,447296.4405,1909375.107,539228.2377,11746633.3,75104628.16,8809619.42,1154610.226,227054.7921,98956.95072,269361.9715,1746733.037,1724799.321,683767.1076,464359.4634,120878.4759,82421.23053,144664.5457,234397.5821,449254.7733,68804.05775,285543.7056,816008.8949,70178.72674,79602.94238,99023.68025,95516.96022,55612.52548,160063.1877,76314.18865,516580.2483
